year,month,is_ruen,date
1975,7,0,1975-08-07
1975,8,0,1975-09-06
1975,9,0,1975-10-05
1975,10,0,1975-11-03
1975,11,0,1975-12-03
1976,12,0,1976-01-01
1976,1,0,1976-01-31
1976,2,0,1976-03-01
1976,3,0,1976-03-31
1976,4,0,1976-04-29
1976,5,0,1976-05-29
1976,6,0,1976-06-27
1976,7,0,1976-07-27
1976,8,0,1976-08-25
1976,8,1,1976-09-24
1976,9,0,1976-10-23
1976,10,0,1976-11-21
1976,11,0,1976-12-21
1977,12,0,1977-01-19
1977,1,0,1977-02-18
1977,2,0,1977-03-20
1977,3,0,1977-04-18
1977,4,0,1977-05-18
1977,5,0,1977-06-17
1977,6,0,1977-07-16
1977,7,0,1977-08-15
1977,8,0,1977-09-13
1977,9,0,1977-10-13
1977,10,0,1977-11-11
1977,11,0,1977-12-11
1978,12,0,1978-01-09
1978,1,0,1978-02-07
1978,2,0,1978-03-09
1978,3,0,1978-04-07
1978,4,0,1978-05-07
1978,5,0,1978-06-06
1978,6,0,1978-07-05
1978,7,0,1978-08-04
1978,8,0,1978-09-03
1978,9,0,1978-10-02
1978,10,0,1978-11-01
1978,11,0,1978-11-30
1978,12,0,1978-12-30
1979,1,0,1979-01-28
1979,2,0,1979-02-27
1979,3,0,1979-03-28
1979,4,0,1979-04-26
1979,5,0,1979-05-26
1979,6,0,1979-06-24
1979,6,1,1979-07-24
1979,7,0,1979-08-23
1979,8,0,1979-09-21
1979,9,0,1979-10-21
1979,10,0,1979-11-20
1979,11,0,1979-12-19
1980,12,0,1980-01-18
1980,1,0,1980-02-16
1980,2,0,1980-03-17
1980,3,0,1980-04-15
1980,4,0,1980-05-14
1980,5,0,1980-06-13
1980,6,0,1980-07-12
1980,7,0,1980-08-11
1980,8,0,1980-09-09
1980,9,0,1980-10-09
1980,10,0,1980-11-08
1980,11,0,1980-12-07
1981,12,0,1981-01-06
1981,1,0,1981-02-05
1981,2,0,1981-03-06
1981,3,0,1981-04-05
1981,4,0,1981-05-04
1981,5,0,1981-06-02
1981,6,0,1981-07-02
1981,7,0,1981-07-31
1981,8,0,1981-08-29
1981,9,0,1981-09-28
1981,10,0,1981-10-28
1981,11,0,1981-11-26
1981,12,0,1981-12-26
1982,1,0,1982-01-25
1982,2,0,1982-02-24
1982,3,0,1982-03-25
1982,4,0,1982-04-24
1982,4,1,1982-05-23
1982,5,0,1982-06-21
