year,term,datetime,jie_zhong
1957,小暑,1957-07-07 17:48:09,jie
1957,大暑,1957-07-23 11:14:48,zhong
1957,立秋,1957-08-08 03:32:03,jie
1957,处暑,1957-08-23 18:07:31,zhong
1957,白露,1957-09-08 06:12:11,jie
1957,秋分,1957-09-23 15:26:02,zhong
1957,寒露,1957-10-08 21:29:58,jie
1957,霜降,1957-10-24 00:24:10,zhong
1957,立冬,1957-11-08 00:20:01,jie
1957,小雪,1957-11-22 21:39:00,zhong
1957,大雪,1957-12-07 16:55:56,jie
1957,冬至,1957-12-22 10:48:34,zhong
1958,小寒,1958-01-06 04:04:20,jie
1958,大寒,1958-01-20 21:28:27,zhong
1958,立春,1958-02-04 15:49:11,jie
1958,雨水,1958-02-19 11:48:26,zhong
1958,惊蛰,1958-03-06 10:04:52,jie
1958,春分,1958-03-21 11:05:47,zhong
1958,清明,1958-04-05 15:12:21,jie
1958,谷雨,1958-04-20 22:26:58,zhong
1958,立夏,1958-05-06 08:49:10,jie
1958,小满,1958-05-21 21:51:00,zhong
1958,芒种,1958-06-06 13:12:11,jie
1958,夏至,1958-06-22 05:56:51,zhong
1958,小暑,1958-07-07 23:33:25,jie
1958,大暑,1958-07-23 16:50:26,zhong
1958,立秋,1958-08-08 09:17:10,jie
1958,处暑,1958-08-23 23:45:53,zhong
1958,白露,1958-09-08 11:58:49,jie
1958,秋分,1958-09-23 21:08:49,zhong
1958,寒露,1958-10-09 03:19:08,jie
1958,霜降,1958-10-24 06:11:18,zhong
1958,立冬,1958-11-08 06:11:53,jie
1958,小雪,1958-11-23 03:29:06,zhong
1958,大雪,1958-12-07 22:49:35,jie
1958,冬至,1958-12-22 16:39:40,zhong
1959,小寒,1959-01-06 09:58:18,jie
1959,大寒,1959-01-21 03:18:50,zhong
1959,立春,1959-02-04 21:42:10,jie
1959,雨水,1959-02-19 17:37:33,zhong
1959,惊蛰,1959-03-06 15:56:35,jie
1959,春分,1959-03-21 16:54:29,zhong
1959,清明,1959-04-05 21:03:02,jie
1959,谷雨,1959-04-21 04:16:27,zhong
1959,立夏,1959-05-06 14:38:42,jie
1959,小满,1959-05-22 03:42:05,zhong
1959,芒种,1959-06-06 19:00:03,jie
1959,夏至,1959-06-22 11:49:44,zhong
1959,小暑,1959-07-08 05:19:52,jie
1959,大暑,1959-07-23 22:45:25,zhong
1959,立秋,1959-08-08 15:04:04,jie
1959,处暑,1959-08-24 05:43:29,zhong
1959,白露,1959-09-08 17:47:54,jie
1959,秋分,1959-09-24 03:08:24,zhong
1959,寒露,1959-10-09 09:09:48,jie
1959,霜降,1959-10-24 12:10:58,zhong
1959,立冬,1959-11-08 12:02:03,jie
1959,小雪,1959-11-23 09:26:53,zhong
1959,大雪,1959-12-08 04:37:16,jie
1959,冬至,1959-12-22 22:34:18,zhong
1960,小寒,1960-01-06 15:42:27,jie
1960,大寒,1960-01-21 09:10:02,zhong
1960,立春,1960-02-05 03:23:09,jie
1960,雨水,1960-02-19 23:26:17,zhong
1960,惊蛰,1960-03-05 21:36:06,jie
1960,春分,1960-03-20 22:42:38,zhong
1960,清明,1960-04-05 02:43:33,jie
1960,谷雨,1960-04-20 10:05:51,zhong
1960,立夏,1960-05-05 20:22:33,jie
1960,小满,1960-05-21 09:33:28,zhong
1960,芒种,1960-06-06 00:48:34,jie
1960,夏至,1960-06-21 17:42:15,zhong
1960,小暑,1960-07-07 11:12:39,jie
1960,大暑,1960-07-23 04:37:25,zhong
1960,立秋,1960-08-07 20:59:44,jie
1960,处暑,1960-08-23 11:34:22,zhong
1960,白露,1960-09-07 23:45:22,jie
1960,秋分,1960-09-23 08:58:50,zhong
1960,寒露,1960-10-08 15:08:39,jie
1960,霜降,1960-10-23 18:01:49,zhong
1960,立冬,1960-11-07 18:02:01,jie
1960,小雪,1960-11-22 15:18:20,zhong
1960,大雪,1960-12-07 10:37:44,jie
1960,冬至,1960-12-22 04:25:53,zhong
1961,小寒,1961-01-05 21:42:36,jie
1961,大寒,1961-01-20 15:01:06,zhong
1961,立春,1961-02-04 09:22:26,jie
1961,雨水,1961-02-19 05:16:27,zhong
1961,惊蛰,1961-03-06 03:34:39,jie
1961,春分,1961-03-21 04:32:04,zhong
1961,清明,1961-04-05 08:42:07,jie
1961,谷雨,1961-04-20 15:55:02,zhong
1961,立夏,1961-05-06 02:21:16,jie
1961,小满,1961-05-21 15:22:14,zhong
1961,芒种,1961-06-06 06:46:00,jie
1961,夏至,1961-06-21 23:30:04,zhong
1961,小暑,1961-07-07 17:06:35,jie
1961,大暑,1961-07-23 10:23:34,zhong
1961,立秋,1961-08-08 02:48:19,jie
1961,处暑,1961-08-23 17:18:30,zhong
1961,白露,1961-09-08 05:29:12,jie
1961,秋分,1961-09-23 14:42:25,zhong
1961,寒露,1961-10-08 20:50:56,jie
1961,霜降,1961-10-23 23:47:21,zhong
1961,立冬,1961-11-07 23:46:11,jie
1961,小雪,1961-11-22 21:07:40,zhong
1961,大雪,1961-12-07 16:25:54,jie
1961,冬至,1961-12-22 10:19:26,zhong
1962,小寒,1962-01-06 03:34:56,jie
1962,大寒,1962-01-20 20:57:53,zhong
1962,立春,1962-02-04 15:17:20,jie
1962,雨水,1962-02-19 11:14:34,zhong
1962,惊蛰,1962-03-06 09:29:29,jie
1962,春分,1962-03-21 10:29:31,zhong
1962,清明,1962-04-05 14:34:14,jie
1962,谷雨,1962-04-20 21:50:40,zhong
1962,立夏,1962-05-06 08:09:28,jie
1962,小满,1962-05-21 21:16:30,zhong
1962,芒种,1962-06-06 12:31:15,jie
1962,夏至,1962-06-22 05:24:05,zhong
1962,小暑,1962-07-07 22:51:05,jie
1962,大暑,1962-07-23 16:17:56,zhong
1962,立秋,1962-08-08 08:33:40,jie
1962,处暑,1962-08-23 23:12:27,zhong
1962,白露,1962-09-08 11:15:20,jie
1962,秋分,1962-09-23 20:35:11,zhong
1962,寒露,1962-10-09 02:37:53,jie
1962,霜降,1962-10-24 05:39:59,zhong
1962,立冬,1962-11-08 05:34:54,jie
1962,小雪,1962-11-23 03:01:50,zhong
1962,大雪,1962-12-07 22:16:39,jie
1962,冬至,1962-12-22 16:15:14,zhong
1963,小寒,1963-01-06 09:26:26,jie
1963,大寒,1963-01-21 02:53:51,zhong
1963,立春,1963-02-04 21:07:44,jie
1963,雨水,1963-02-19 17:08:34,zhong
1963,惊蛰,1963-03-06 15:17:09,jie
1963,春分,1963-03-21 16:19:39,zhong
1963,清明,1963-04-05 20:18:39,jie
1963,谷雨,1963-04-21 03:36:07,zhong
1963,立夏,1963-05-06 13:51:57,jie
1963,小满,1963-05-22 02:58:07,zhong
1963,芒种,1963-06-06 18:14:26,jie
1963,夏至,1963-06-22 11:04:00,zhong
1963,小暑,1963-07-08 04:37:37,jie
1963,大暑,1963-07-23 21:59:11,zhong
1963,立秋,1963-08-08 14:25:24,jie
1963,处暑,1963-08-24 04:57:29,zhong
1963,白露,1963-09-08 17:11:50,jie
1963,秋分,1963-09-24 02:23:27,zhong
1963,寒露,1963-10-09 08:36:14,jie
1963,霜降,1963-10-24 11:28:48,zhong
1963,立冬,1963-11-08 11:32:19,jie
1963,小雪,1963-11-23 08:49:20,zhong
1963,大雪,1963-12-08 04:12:36,jie
1963,冬至,1963-12-22 22:01:52,zhong
1964,小寒,1964-01-06 15:22:20,jie
1964,大寒,1964-01-21 08:41:03,zhong
1964,立春,1964-02-05 03:04:55,jie
1964,雨水,1964-02-19 22:57:17,zhong
1964,惊蛰,1964-03-05 21:15:59,jie
1964,春分,1964-03-20 22:09:50,zhong
1964,清明,1964-04-05 02:18:20,jie
1964,谷雨,1964-04-20 09:27:08,zhong
1964,立夏,1964-05-05 19:51:01,jie
1964,小满,1964-05-21 08:49:45,zhong
1964,芒种,1964-06-06 00:11:43,jie
1964,夏至,1964-06-21 16:56:47,zhong
1964,小暑,1964-07-07 10:32:07,jie
1964,大暑,1964-07-23 03:52:43,zhong
1964,立秋,1964-08-07 20:16:09,jie
1964,处暑,1964-08-23 10:51:01,zhong
1964,白露,1964-09-07 22:59:26,jie
1964,秋分,1964-09-23 08:16:38,zhong
1964,寒露,1964-10-08 14:21:30,jie
1964,霜降,1964-10-23 17:20:40,zhong
1964,立冬,1964-11-07 17:15:06,jie
1964,小雪,1964-11-22 14:38:53,zhong
1964,大雪,1964-12-07 09:53:03,jie
1964,冬至,1964-12-22 03:49:31,zhong
1965,小寒,1965-01-05 21:01:57,jie
1965,大寒,1965-01-20 14:28:51,zhong
1965,立春,1965-02-04 08:46:06,jie
1965,雨水,1965-02-19 04:47:48,zhong
1965,惊蛰,1965-03-06 03:00:38,jie
1965,春分,1965-03-21 04:04:44,zhong
1965,清明,1965-04-05 08:06:43,jie
1965,谷雨,1965-04-20 15:26:03,zhong
1965,立夏,1965-05-06 01:41:32,jie
1965,小满,1965-05-21 14:50:13,zhong
1965,芒种,1965-06-06 06:02:06,jie
1965,夏至,1965-06-21 22:55:40,zhong
1965,小暑,1965-07-07 16:21:22,jie
1965,大暑,1965-07-23 09:48:09,zhong
1965,立秋,1965-08-08 02:04:36,jie
1965,处暑,1965-08-23 16:42:40,zhong
1965,白露,1965-09-08 04:47:50,jie
1965,秋分,1965-09-23 14:05:57,zhong
1965,寒露,1965-10-08 20:11:07,jie
1965,霜降,1965-10-23 23:09:55,zhong
1965,立冬,1965-11-07 23:06:32,jie
1965,小雪,1965-11-22 20:29:08,zhong
1965,大雪,1965-12-07 15:45:32,jie
1965,冬至,1965-12-22 09:40:23,zhong
1966,小寒,1966-01-06 02:54:20,jie
1966,大寒,1966-01-20 20:19:39,zhong
1966,立春,1966-02-04 14:37:48,jie
1966,雨水,1966-02-19 10:37:47,zhong
1966,惊蛰,1966-03-06 08:51:21,jie
1966,春分,1966-03-21 09:52:54,zhong
1966,清明,1966-04-05 13:56:29,jie
1966,谷雨,1966-04-20 21:11:30,zhong
1966,立夏,1966-05-06 07:30:26,jie
1966,小满,1966-05-21 20:32:01,zhong
1966,芒种,1966-06-06 11:49:37,jie
1966,夏至,1966-06-22 04:33:21,zhong
1966,小暑,1966-07-07 22:06:59,jie
1966,大暑,1966-07-23 15:23:10,zhong
1966,立秋,1966-08-08 07:48:56,jie
1966,处暑,1966-08-23 22:17:42,zhong
1966,白露,1966-09-08 10:32:01,jie
1966,秋分,1966-09-23 19:43:08,zhong
1966,寒露,1966-10-09 01:56:43,jie
1966,霜降,1966-10-24 04:50:45,zhong
1966,立冬,1966-11-08 04:55:15,jie
1966,小雪,1966-11-23 02:14:05,zhong
1966,大雪,1966-12-07 21:37:45,jie
1966,冬至,1966-12-22 15:28:08,zhong
1967,小寒,1967-01-06 08:48:19,jie
1967,大寒,1967-01-21 02:07:30,zhong
1967,立春,1967-02-04 20:30:49,jie
1967,雨水,1967-02-19 16:23:38,zhong
1967,惊蛰,1967-03-06 14:41:53,jie
1967,春分,1967-03-21 15:36:46,zhong
1967,清明,1967-04-05 19:44:41,jie
1967,谷雨,1967-04-21 02:55:07,zhong
1967,立夏,1967-05-06 13:17:26,jie
1967,小满,1967-05-22 02:17:52,zhong
1967,芒种,1967-06-06 17:36:18,jie
1967,夏至,1967-06-22 10:22:49,zhong
1967,小暑,1967-07-08 03:53:19,jie
1967,大暑,1967-07-23 21:15:49,zhong
1967,立秋,1967-08-08 13:34:51,jie
1967,处暑,1967-08-24 04:12:24,zhong
1967,白露,1967-09-08 16:17:42,jie
1967,秋分,1967-09-24 01:38:01,zhong
1967,寒露,1967-10-09 07:41:11,jie
1967,霜降,1967-10-24 10:43:44,zhong
1967,立冬,1967-11-08 10:37:23,jie
1967,小雪,1967-11-23 08:04:26,zhong
1967,大雪,1967-12-08 03:17:28,jie
1967,冬至,1967-12-22 21:16:17,zhong
1968,小寒,1968-01-06 14:26:10,jie
1968,大寒,1968-01-21 07:54:06,zhong
1968,立春,1968-02-05 02:07:23,jie
1968,雨水,1968-02-19 22:09:13,zhong
1968,惊蛰,1968-03-05 20:17:45,jie
1968,春分,1968-03-20 21:22:01,zhong
1968,清明,1968-04-05 01:20:53,jie
1968,谷雨,1968-04-20 08:41:07,zhong
1968,立夏,1968-05-05 18:55:47,jie
1968,小满,1968-05-21 08:05:50,zhong
1968,芒种,1968-06-05 23:19:05,jie
1968,夏至,1968-06-21 16:13:16,zhong
1968,小暑,1968-07-07 09:41:37,jie
1968,大暑,1968-07-23 03:07:23,zhong
1968,立秋,1968-08-07 19:27:11,jie
1968,处暑,1968-08-23 10:02:51,zhong
1968,白露,1968-09-07 22:11:24,jie
1968,秋分,1968-09-23 07:26:10,zhong
1968,寒露,1968-10-08 13:34:23,jie
1968,霜降,1968-10-23 16:29:34,zhong
1968,立冬,1968-11-07 16:29:17,jie
1968,小雪,1968-11-22 13:48:31,zhong
1968,大雪,1968-12-07 09:08:15,jie
1968,冬至,1968-12-22 02:59:45,zhong
1969,小寒,1969-01-05 20:16:48,jie
1969,大寒,1969-01-20 13:38:10,zhong
1969,立春,1969-02-04 07:58:52,jie
1969,雨水,1969-02-19 03:54:28,zhong
1969,惊蛰,1969-03-06 02:10:34,jie
1969,春分,1969-03-21 03:08:04,zhong
1969,清明,1969-04-05 07:14:51,jie
1969,谷雨,1969-04-20 14:26:51,zhong
1969,立夏,1969-05-06 00:49:47,jie
1969,小满,1969-05-21 13:49:42,zhong
1969,芒种,1969-06-06 05:11:29,jie
1969,夏至,1969-06-21 21:55:01,zhong
1969,小暑,1969-07-07 15:31:31,jie
1969,大暑,1969-07-23 08:48:08,zhong
1969,立秋,1969-08-08 01:14:06,jie
1969,处暑,1969-08-23 15:43:20,zhong
1969,白露,1969-09-08 03:55:25,jie
1969,秋分,1969-09-23 13:06:53,zhong
1969,寒露,1969-10-08 19:16:40,jie
1969,霜降,1969-10-23 22:11:02,zhong
1969,立冬,1969-11-07 22:11:20,jie
1969,小雪,1969-11-22 19:31:04,zhong
1969,大雪,1969-12-07 14:51:18,jie
1969,冬至,1969-12-22 08:43:41,zhong
1970,小寒,1970-01-06 02:01:39,jie
1970,大寒,1970-01-20 19:23:47,zhong
1970,立春,1970-02-04 13:45:42,jie
1970,雨水,1970-02-19 09:41:46,zhong
1970,惊蛰,1970-03-06 07:58:27,jie
1970,春分,1970-03-21 08:56:19,zhong
1970,清明,1970-04-05 13:01:44,jie
1970,谷雨,1970-04-20 20:14:56,zhong
1970,立夏,1970-05-06 06:33:47,jie
1970,小满,1970-05-21 19:37:19,zhong
1970,芒种,1970-06-06 10:52:13,jie
1970,夏至,1970-06-22 03:42:38,zhong
1970,小暑,1970-07-07 21:10:31,jie
1970,大暑,1970-07-23 14:36:52,zhong
1970,立秋,1970-08-08 06:54:06,jie
1970,处暑,1970-08-23 21:33:53,zhong
1970,白露,1970-09-08 09:37:53,jie
1970,秋分,1970-09-23 18:58:59,zhong
1970,寒露,1970-10-09 01:01:32,jie
1970,霜降,1970-10-24 04:04:14,zhong
1970,立冬,1970-11-08 03:57:43,jie
1970,小雪,1970-11-23 01:24:32,zhong
1970,大雪,1970-12-07 20:37:19,jie
1970,冬至,1970-12-22 14:35:40,zhong
1971,小寒,1971-01-06 07:45:06,jie
1971,大寒,1971-01-21 01:12:39,zhong
1971,立春,1971-02-04 19:25:25,jie
1971,雨水,1971-02-19 15:26:55,zhong
1971,惊蛰,1971-03-06 13:34:44,jie
1971,春分,1971-03-21 14:38:06,zhong
1971,清明,1971-04-05 18:36:00,jie
1971,谷雨,1971-04-21 01:54:13,zhong
1971,立夏,1971-05-06 12:08:08,jie
1971,小满,1971-05-22 01:14:59,zhong
1971,芒种,1971-06-06 16:28:51,jie
1971,夏至,1971-06-22 09:19:34,zhong
1971,小暑,1971-07-08 02:51:07,jie
1971,大暑,1971-07-23 20:14:43,zhong
1971,立秋,1971-08-08 12:40:12,jie
1971,处暑,1971-08-24 03:15:14,zhong
1971,白露,1971-09-08 15:30:12,jie
1971,秋分,1971-09-24 00:44:52,zhong
1971,寒露,1971-10-09 06:58:34,jie
1971,霜降,1971-10-24 09:53:08,zhong
1971,立冬,1971-11-08 09:56:37,jie
1971,小雪,1971-11-23 07:13:56,zhong
1971,大雪,1971-12-08 02:35:42,jie
1971,冬至,1971-12-22 20:23:53,zhong
1972,小寒,1972-01-06 13:41:50,jie
1972,大寒,1972-01-21 06:58:59,zhong
1972,立春,1972-02-05 01:20:13,jie
1972,雨水,1972-02-19 21:11:23,zhong
1972,惊蛰,1972-03-05 19:28:04,jie
1972,春分,1972-03-20 20:21:25,zhong
1972,清明,1972-04-05 00:28:50,jie
1972,谷雨,1972-04-20 07:37:29,zhong
1972,立夏,1972-05-05 18:01:10,jie
1972,小满,1972-05-21 06:59:29,zhong
1972,芒种,1972-06-05 22:21:59,jie
1972,夏至,1972-06-21 15:06:10,zhong
1972,小暑,1972-07-07 08:42:53,jie
1972,大暑,1972-07-23 02:02:30,zhong
1972,立秋,1972-08-07 18:28:29,jie
1972,处暑,1972-08-23 09:03:01,zhong
1972,白露,1972-09-07 21:15:06,jie
1972,秋分,1972-09-23 06:32:45,zhong
1972,寒露,1972-10-08 12:41:45,jie
