year,month,is_ruen,shuo_time,wang_time,lunar_year,status,source_ref,notes
1957,4,0,1957-04-30T07:53+08:00,1957-05-14T06:34+08:00,丁酉,confirmed,hko+lunar,
1957,5,0,1957-05-29T19:38+08:00,1957-06-12T18:01+08:00,丁酉,confirmed,hko+lunar,
1957,6,0,1957-06-28T04:53+08:00,1957-07-12T06:49+08:00,丁酉,confirmed,hko+lunar,
1957,7,0,1957-07-27T12:27+08:00,1957-08-10T21:08+08:00,丁酉,confirmed,hko+lunar,
1957,8,0,1957-08-25T19:32+08:00,1957-09-09T12:54+08:00,丁酉,confirmed,hko+lunar,
1957,8,1,1957-09-24T03:18+08:00,1957-10-09T05:42+08:00,丁酉,confirmed,hko+lunar,闰八月
1957,9,0,1957-10-23T12:43+08:00,1957-11-07T22:31+08:00,丁酉,confirmed,hko+lunar,
1957,10,0,1957-11-22T00:19+08:00,1957-12-07T14:15+08:00,丁酉,confirmed,hko+lunar,
1957,11,0,1957-12-21T14:11+08:00,1958-01-06T04:08+08:00,丁酉,confirmed,hko+lunar,
1958,12,0,1958-01-20T06:07+08:00,1958-02-04T16:05+08:00,丁酉,confirmed,hko+lunar,
1958,1,0,1958-02-18T23:38+08:00,1958-03-06T02:27+08:00,戊戌,confirmed,hko+lunar,
1958,2,0,1958-03-20T17:49+08:00,1958-04-04T11:44+08:00,戊戌,confirmed,hko+lunar,
1958,3,0,1958-04-19T11:23+08:00,1958-05-03T20:23+08:00,戊戌,confirmed,hko+lunar,
1958,4,0,1958-05-19T03:00+08:00,1958-06-02T04:54+08:00,戊戌,confirmed,hko+lunar,
1958,5,0,1958-06-17T15:59+08:00,1958-07-01T14:04+08:00,戊戌,confirmed,hko+lunar,
1958,6,0,1958-07-17T02:33+08:00,1958-07-31T00:46+08:00,戊戌,confirmed,hko+lunar,
1958,7,0,1958-08-15T11:33+08:00,1958-08-29T13:53+08:00,戊戌,confirmed,hko+lunar,
1958,8,0,1958-09-13T20:01+08:00,1958-09-28T05:43+08:00,戊戌,confirmed,hko+lunar,
1958,9,0,1958-10-13T04:51+08:00,1958-10-27T23:40+08:00,戊戌,confirmed,hko+lunar,
1958,10,0,1958-11-11T14:33+08:00,1958-11-26T18:16+08:00,戊戌,confirmed,hko+lunar,
1958,11,0,1958-12-11T01:22+08:00,1958-12-26T11:53+08:00,戊戌,confirmed,hko+lunar,
1959,12,0,1959-01-09T13:33+08:00,1959-01-25T03:32+08:00,戊戌,confirmed,hko+lunar,
1959,1,0,1959-02-08T03:21+08:00,1959-02-23T16:53+08:00,己亥,confirmed,hko+lunar,
1959,2,0,1959-03-09T18:50+08:00,1959-03-25T04:02+08:00,己亥,confirmed,hko+lunar,
1959,3,0,1959-04-08T11:28+08:00,1959-04-23T13:13+08:00,己亥,confirmed,hko+lunar,
1959,4,0,1959-05-08T04:11+08:00,1959-05-22T20:55+08:00,己亥,confirmed,hko+lunar,
1959,5,0,1959-06-06T19:53+08:00,1959-06-21T03:59+08:00,己亥,confirmed,hko+lunar,
1959,6,0,1959-07-06T10:00+08:00,1959-07-20T11:33+08:00,己亥,confirmed,hko+lunar,
1959,7,0,1959-08-04T22:33+08:00,1959-08-18T20:50+08:00,己亥,confirmed,hko+lunar,
1959,8,0,1959-09-03T09:55+08:00,1959-09-17T08:51+08:00,己亥,confirmed,hko+lunar,
1959,9,0,1959-10-02T20:30+08:00,1959-10-16T23:58+08:00,己亥,confirmed,hko+lunar,
1959,10,0,1959-11-01T06:40+08:00,1959-11-15T17:41+08:00,己亥,confirmed,hko+lunar,
1959,11,0,1959-11-30T16:45+08:00,1959-12-15T12:48+08:00,己亥,confirmed,hko+lunar,
1959,12,0,1959-12-30T03:08+08:00,1960-01-14T07:50+08:00,己亥,confirmed,hko+lunar,
1960,1,0,1960-01-28T14:14+08:00,1960-02-13T01:23+08:00,庚子,confirmed,hko+lunar,
1960,2,0,1960-02-27T02:23+08:00,1960-03-13T16:25+08:00,庚子,confirmed,hko+lunar,
1960,3,0,1960-03-27T15:37+08:00,1960-04-12T04:27+08:00,庚子,confirmed,hko+lunar,
1960,4,0,1960-04-26T05:44+08:00,1960-05-11T13:42+08:00,庚子,confirmed,hko+lunar,
1960,5,0,1960-05-25T20:25+08:00,1960-06-09T21:01+08:00,庚子,confirmed,hko+lunar,
1960,6,0,1960-06-24T11:26+08:00,1960-07-09T03:36+08:00,庚子,confirmed,hko+lunar,
1960,6,1,1960-07-24T02:30+08:00,1960-08-07T10:40+08:00,庚子,confirmed,hko+lunar,闰六月
1960,7,0,1960-08-22T17:15+08:00,1960-09-05T19:18+08:00,庚子,confirmed,hko+lunar,
1960,8,0,1960-09-21T07:12+08:00,1960-10-05T06:15+08:00,庚子,confirmed,hko+lunar,
1960,9,0,1960-10-20T20:02+08:00,1960-11-03T19:57+08:00,庚子,confirmed,hko+lunar,
1960,10,0,1960-11-19T07:46+08:00,1960-12-03T12:24+08:00,庚子,confirmed,hko+lunar,
1960,11,0,1960-12-18T18:46+08:00,1961-01-02T07:05+08:00,庚子,confirmed,hko+lunar,
1961,12,0,1961-01-17T05:29+08:00,1961-02-01T02:46+08:00,庚子,confirmed,hko+lunar,
1961,1,0,1961-02-15T16:10+08:00,1961-03-02T21:34+08:00,辛丑,confirmed,hko+lunar,
1961,2,0,1961-03-17T02:50+08:00,1961-04-01T13:46+08:00,辛丑,confirmed,hko+lunar,
1961,3,0,1961-04-15T13:37+08:00,1961-05-01T02:40+08:00,辛丑,confirmed,hko+lunar,
1961,4,0,1961-05-15T00:53+08:00,1961-05-30T12:36+08:00,辛丑,confirmed,hko+lunar,
1961,5,0,1961-06-13T13:16+08:00,1961-06-28T20:37+08:00,辛丑,confirmed,hko+lunar,
1961,6,0,1961-07-13T03:10+08:00,1961-07-28T03:49+08:00,辛丑,confirmed,hko+lunar,
1961,7,0,1961-08-11T18:35+08:00,1961-08-26T11:13+08:00,辛丑,confirmed,hko+lunar,
